order_id;pizza_type_id;pizza_type_id;quantity
1;hawaiian_m;hawaiian;1
2;classic_dlx_m;classic_dlx;1
2;five_cheese_l;five_cheese;1
2;ital_supr_l;ital_supr;1
2;mexicana_m;mexicana;1
2;thai_ckn_l;thai_ckn;1
3;ital_supr_m;ital_supr;1
3;prsc_argla_l;prsc_argla;1
4;ital_supr_m;ital_supr;1
5;ital_supr_m;ital_supr;1
6;bbq_ckn_s;bbq_ckn;1
6;the_greek_s;the_greek;1
7;spinach_supr_s;spinach_supr;1
8;spinach_supr_s;spinach_supr;1
9;classic_dlx_s;classic_dlx;1
9;green_garden_s;green_garden;1
9;ital_cpcllo_l;ital_cpcllo;1
9;ital_supr_l;ital_supr;1
9;ital_supr_s;ital_supr;1
9;mexicana_s;mexicana;1
9;spicy_ital_l;spicy_ital;1
9;spin_pesto_l;spin_pesto;1
9;veggie_veg_s;veggie_veg;1
10;mexicana_l;mexicana;1
10;southw_ckn_l;southw_ckn;1
11;bbq_ckn_l;bbq_ckn;1
11;cali_ckn_l;cali_ckn;1
11;cali_ckn_m;cali_ckn;1
11;pepperoni_l;pepperoni;1
12;cali_ckn_l;cali_ckn;1
12;cali_ckn_s;cali_ckn;1
12;ckn_pesto_l;ckn_pesto;1
12;ital_supr_m;ital_supr;1
13;mexicana_l;mexicana;1
14;the_greek_s;the_greek;1
15;big_meat_s;big_meat;1
15;five_cheese_l;five_cheese;1
15;soppressata_l;soppressata;1
15;the_greek_s;the_greek;1
16;four_cheese_l;four_cheese;1
16;napolitana_s;napolitana;1
16;thai_ckn_l;thai_ckn;1
17;bbq_ckn_l;bbq_ckn;1
17;calabrese_m;calabrese;1
17;five_cheese_l;five_cheese;1
17;four_cheese_m;four_cheese;1
17;ital_supr_m;ital_supr;1
17;ital_veggie_s;ital_veggie;1
17;mediterraneo_m;mediterraneo;2
17;mexicana_l;mexicana;1
17;peppr_salami_s;peppr_salami;1
17;spinach_fet_l;spinach_fet;1
18;napolitana_l;napolitana;1
19;ital_cpcllo_l;ital_cpcllo;1
19;sicilian_l;sicilian;1
20;big_meat_s;big_meat;1
20;five_cheese_l;five_cheese;1
21;ital_cpcllo_l;ital_cpcllo;1
22;five_cheese_l;five_cheese;1
22;ital_cpcllo_m;ital_cpcllo;1
22;southw_ckn_l;southw_ckn;1
23;southw_ckn_s;southw_ckn;1
24;bbq_ckn_m;bbq_ckn;1
24;ital_cpcllo_m;ital_cpcllo;1
24;pepperoni_m;pepperoni;1
24;prsc_argla_s;prsc_argla;1
25;sicilian_m;sicilian;1
25;thai_ckn_l;thai_ckn;1
26;classic_dlx_s;classic_dlx;1
26;veggie_veg_l;veggie_veg;1
27;bbq_ckn_l;bbq_ckn;1
27;classic_dlx_m;classic_dlx;1
27;spinach_fet_l;spinach_fet;1
28;ckn_alfredo_s;ckn_alfredo;1
29;green_garden_s;green_garden;1
30;thai_ckn_l;thai_ckn;1
31;mexicana_m;mexicana;1
31;pepperoni_s;pepperoni;1
32;big_meat_s;big_meat;1
32;green_garden_l;green_garden;1
32;ital_cpcllo_l;ital_cpcllo;1
32;ital_supr_m;ital_supr;1
33;bbq_ckn_l;bbq_ckn;1
33;green_garden_s;green_garden;1
34;the_greek_s;the_greek;1
35;green_garden_m;green_garden;1
35;pep_msh_pep_l;pep_msh_pep;1
35;pepperoni_m;pepperoni;1
35;thai_ckn_l;thai_ckn;1
36;bbq_ckn_m;bbq_ckn;1
36;classic_dlx_m;classic_dlx;1
37;ital_supr_l;ital_supr;1
37;mexicana_l;mexicana;1
38;hawaiian_s;hawaiian;1
38;ital_cpcllo_l;ital_cpcllo;1
39;ital_supr_l;ital_supr;1
40;four_cheese_l;four_cheese;1
40;southw_ckn_s;southw_ckn;1
41;four_cheese_m;four_cheese;1
41;green_garden_s;green_garden;1
42;big_meat_s;big_meat;1
42;five_cheese_l;five_cheese;1
42;mexicana_l;mexicana;1
42;peppr_salami_m;peppr_salami;1
43;ckn_alfredo_m;ckn_alfredo;1
43;ital_supr_m;ital_supr;1
43;peppr_salami_l;peppr_salami;1
44;spin_pesto_s;spin_pesto;1
45;four_cheese_l;four_cheese;1
45;hawaiian_s;hawaiian;1
45;thai_ckn_m;thai_ckn;1
46;ckn_pesto_l;ckn_pesto;1
46;classic_dlx_l;classic_dlx;1
46;thai_ckn_m;thai_ckn;1
47;southw_ckn_l;southw_ckn;1
47;veggie_veg_s;veggie_veg;1
48;ckn_pesto_m;ckn_pesto;1
48;green_garden_s;green_garden;1
48;prsc_argla_l;prsc_argla;1
48;spicy_ital_l;spicy_ital;1
49;sicilian_l;sicilian;1
50;the_greek_x;the_greek;1
51;bbq_ckn_l;bbq_ckn;1
51;pep_msh_pep_l;pep_msh_pep;1
52;hawaiian_l;hawaiian;1
52;mexicana_l;mexicana;1
52;spicy_ital_l;spicy_ital;1
53;pep_msh_pep_s;pep_msh_pep;1
53;spinach_supr_m;spinach_supr;1
54;prsc_argla_m;prsc_argla;1
54;thai_ckn_l;thai_ckn;1
55;peppr_salami_s;peppr_salami;1
55;spicy_ital_l;spicy_ital;1
56;classic_dlx_m;classic_dlx;1
56;mediterraneo_l;mediterraneo;1
56;southw_ckn_m;southw_ckn;1
57;classic_dlx_m;classic_dlx;1
58;five_cheese_l;five_cheese;1
58;pepperoni_m;pepperoni;1
59;ital_veggie_s;ital_veggie;1
59;pep_msh_pep_s;pep_msh_pep;1
59;pepperoni_l;pepperoni;1
60;ckn_pesto_l;ckn_pesto;1
60;four_cheese_m;four_cheese;1
61;bbq_ckn_m;bbq_ckn;1
61;ital_supr_l;ital_supr;1
62;bbq_ckn_m;bbq_ckn;1
62;spinach_supr_m;spinach_supr;1
63;pep_msh_pep_m;pep_msh_pep;1
64;big_meat_s;big_meat;1
65;pep_msh_pep_s;pep_msh_pep;1
65;sicilian_s;sicilian;1
65;spicy_ital_s;spicy_ital;1
65;spinach_supr_m;spinach_supr;1
66;classic_dlx_m;classic_dlx;1
66;ital_cpcllo_m;ital_cpcllo;1
67;southw_ckn_l;southw_ckn;1
68;classic_dlx_m;classic_dlx;1
68;ital_supr_l;ital_supr;1
68;ital_supr_m;ital_supr;1
69;bbq_ckn_l;bbq_ckn;1
70;ital_veggie_s;ital_veggie;1
70;soppressata_l;soppressata;1
71;thai_ckn_l;thai_ckn;1
72;spinach_fet_l;spinach_fet;1
73;thai_ckn_s;thai_ckn;1
74;five_cheese_l;five_cheese;1
74;mexicana_l;mexicana;1
74;spin_pesto_s;spin_pesto;1
74;spinach_supr_l;spinach_supr;1
75;ital_supr_s;ital_supr;1
75;mediterraneo_l;mediterraneo;1
75;napolitana_l;napolitana;1
76;big_meat_s;big_meat;1
76;hawaiian_l;hawaiian;1
76;ital_veggie_l;ital_veggie;1
76;spicy_ital_l;spicy_ital;1
77;bbq_ckn_m;bbq_ckn;1
77;hawaiian_m;hawaiian;1
78;big_meat_s;big_meat;1
78;classic_dlx_s;classic_dlx;1
78;four_cheese_l;four_cheese;1
78;ital_cpcllo_m;ital_cpcllo;1
78;spicy_ital_l;spicy_ital;3
78;thai_ckn_s;thai_ckn;1
79;ital_cpcllo_l;ital_cpcllo;1
79;pep_msh_pep_s;pep_msh_pep;1
79;thai_ckn_l;thai_ckn;1
80;pepperoni_s;pepperoni;1
80;thai_ckn_m;thai_ckn;1
81;thai_ckn_l;thai_ckn;1
82;big_meat_s;big_meat;1
82;cali_ckn_m;cali_ckn;1
82;spicy_ital_l;spicy_ital;1
82;veggie_veg_m;veggie_veg;1
83;southw_ckn_s;southw_ckn;1
84;pepperoni_l;pepperoni;1
85;classic_dlx_m;classic_dlx;1
85;classic_dlx_s;classic_dlx;1
85;ital_supr_l;ital_supr;1
85;the_greek_m;the_greek;1
86;hawaiian_l;hawaiian;1
87;ital_cpcllo_m;ital_cpcllo;1
87;mexicana_m;mexicana;1
87;spinach_supr_l;spinach_supr;1
87;spinach_supr_s;spinach_supr;1
88;five_cheese_l;five_cheese;1
89;soppressata_l;soppressata;1
89;thai_ckn_l;thai_ckn;1
90;sicilian_l;sicilian;1
90;thai_ckn_s;thai_ckn;1
91;bbq_ckn_l;bbq_ckn;2
91;ckn_pesto_s;ckn_pesto;1
91;pepperoni_s;pepperoni;1
92;bbq_ckn_m;bbq_ckn;1
92;ital_supr_l;ital_supr;1
92;ital_supr_m;ital_supr;1
92;ital_veggie_s;ital_veggie;1
92;pepperoni_m;pepperoni;1
92;peppr_salami_m;peppr_salami;1
92;spinach_fet_s;spinach_fet;1
92;spinach_supr_s;spinach_supr;1
92;the_greek_m;the_greek;2
93;sicilian_m;sicilian;1
94;ital_cpcllo_m;ital_cpcllo;1
94;southw_ckn_s;southw_ckn;1
95;napolitana_s;napolitana;1
95;peppr_salami_l;peppr_salami;1
96;napolitana_s;napolitana;1
97;big_meat_s;big_meat;1
98;classic_dlx_l;classic_dlx;1
98;napolitana_l;napolitana;1
99;ital_supr_l;ital_supr;1
100;hawaiian_l;hawaiian;1
101;cali_ckn_l;cali_ckn;1
